user,game,mean_x,mean_y,mean_z,rows
g2o2u04,forklift_simulator,0.005825954532359948,1.1850966266273166,0.08225179192360625,50159
g2o2u04,medal_of_honor,-0.4967518947974501,1.7356340174623683,0.25536949252094965,70609
g2o2u05,forklift_simulator,1.0199646526703194,1.1116756678269535,-0.09062409443460956,50275
g2o2u05,medal_of_honor,0.008733526539531784,1.54868301394209,-0.26083120052318026,43322
g2o2u06,forklift_simulator,-0.10398495013713649,1.0798915228789212,0.008677875862479019,79877
g2o2u06,medal_of_honor,0.8972483763135126,1.4999947479774693,0.8047034517677694,73918
g2o2u07,forklift_simulator,0.011426307766986095,1.1561259664960983,0.005422472377604056,72887
g2o2u07,medal_of_honor,0.8644466457973801,1.6539125281382252,-0.5194422787711963,69052
g2o2u08,forklift_simulator,0.021520134226236273,1.1812491132207945,-0.013703044169023052,61199
g2o2u08,medal_of_honor,0.11503595425059393,1.6193580626716086,-0.4542959259581063,63729
g2o2u09,forklift_simulator,-0.7020291571827515,1.1122586054867045,-1.2662086344329984,68748
g2o2u09,medal_of_honor,0.495724187588665,1.4942614865352346,0.25893653594559785,66544
g2o2u10,forklift_simulator,0.0018561021886983522,1.0280753808612904,-0.0020689291713493403,74237
g2o2u10,medal_of_honor,-0.5218781151580744,1.4198493836162598,-0.7233847025344651,85304
g2o2u11,forklift_simulator,-0.03518371466049241,1.0886339374389766,0.20464655768868428,62467
g2o2u11,medal_of_honor,-0.29049504213223043,1.512473815661568,-0.10856453370312676,58832
g2o2u12,forklift_simulator,-0.010023607962828729,1.1216894002803095,0.0954720794779616,66356
g2o2u12,medal_of_honor,0.3286279788972409,1.5454233765093697,0.48053321322972276,77350
g2o2u13,forklift_simulator,0.945458514970584,0.9756254395534553,-0.2810617063519536,91279
g2o2u13,medal_of_honor,0.154597083411107,1.5467859726422375,-0.8740061473025198,73142
g2o2u14,forklift_simulator,0.39145880035781255,1.1146777612345722,0.2888807963353173,77306
g2o2u14,medal_of_honor,0.5896795994051754,1.5019833345855895,-0.6177491416678361,63885
